ลำดับ,ร้าน,วันที่,รหัสสินค้า,บาร์โค้ด,ชื่อสินค้า,รหัสหมวดหมู่,หมวดหมู่,ยอดยกมา,รับเข้า,ขายออก,รับแปร,เบิกแปร,ปรับเพิ่ม,ปรับลด,รับผลิต,เบิกผลิต,สินค้าคงเหลือ,หน่วย,@หน่วย,มูลค่าคงเหลือ,รหัสเหตุผล,เหตุผล
61,CP Fresh Shop ດອນໜູນ,01/06/2025,800000101378,85620888883,NVນົມໝູສະໄລ້A 500g,007,ອາຫານແຊ່ແຂງ,18.0,10.0,10.0,0,0,0.0,0.0,0,0,18.0,"ຊນ,ອັນ",52500,945000.0,-,-
62,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084277,5101820,CP ຊຸດຈຸ່ມພີມ້ຽນ,002,ຜັກປອດສານພິດ,-2.0,21.0,1.0,0,0,0.0,0.0,0,0,18.0,"ຊນ,ອັນ",27000,486000.0,-,-
63,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084318,8859268100647,ໄສ້ກອກຫມູຄອກເທວຜະສົມຊີສ 500g,007,ອາຫານແຊ່ແຂງ,20.0,0.0,3.0,0,0,0.0,0.0,0,0,17.0,"ຊນ,ອັນ",42000,714000.0,-,-
64,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084495,-,ແຈ່ວສຸກີ້ແມ່ທອນ 500g,010,ເຄື່ອງປຸງ,2.0,15.0,1.0,0,0,0.0,0.0,0,0,16.0,"ຊນ,ອັນ",30000,480000.0,-,-
65,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084283,8858828509500,ກະແລ້ມໝາກໜອດ,012,ອາຫານສຳເລັດຮູບ,17.0,0.0,1.0,0,0,0.0,0.0,0,0,16.0,"ຊນ,ອັນ",8000,128000.0,-,-
66,CP Fresh Shop ດອນໜູນ,01/06/2025,800000107254,8851123237031,ວິຕາມິນC ນ້ຳສົ້ມ,009,ເຄື່ອງດື່ມ,17.0,0.0,2.0,0,0,0.0,0.0,0,0,15.0,"ຊນ,ອັນ",8278,124170.0,-,-
67,CP Fresh Shop ດອນໜູນ,01/06/2025,800000126557,1122554466411,Mfoodແຈ່ວດາດ_ຈຸ່ມ500g,801,ນໍ້າແຈ່ວ,19.0,0.0,4.0,0,0,0.0,0.0,0,0,15.0,"ຊນ,ອັນ",27000,405000.0,-,-
68,CP Fresh Shop ດອນໜູນ,01/06/2025,800000103440,123456781,ແຈ່ວສຸກີ້ແມ່ທອນ 750g,801,ນໍ້າແຈ່ວ,0.0,15.0,0.0,0,0,0.0,0.0,0,0,15.0,"ຊນ,ອັນ",38000,570000.0,-,-
69,CP Fresh Shop ດອນໜູນ,01/06/2025,800000084419,8850124065421,ຊອດແມັກກີ້ 680ກຼາມ,010,ເຄື່ອງປຸງ,16.0,0.0,1.0,0,0,0.0,0.0,0,0,15.0,"ຊນ,ອັນ",19888,298320.0,-,-
70,CP Fresh Shop ດອນໜູນ,01/06/2025,2255120404,8858984833082,ໝູສາມຊັ້ນໝັກນ້ຳມັນງາ 500g,006,ຊີ້ນແພກແບຣນ,16.0,0.0,1.0,0,0,0.0,0.0,0,0,15.0,ແພັກ,35002,525030.0,-,-
71,CP Fresh Shop ດອນໜູນ,01/06/2025,2255121281,9921281,ກະດູກຂໍ້,003,ຊີ້ນສົດ,20.26,0.0,5.697,0,0,0.0,0.0,0,0,14.567,ກິໂລກຣາມ,31000,451577.0,-,-
72,CP Fresh Shop ດອນໜູນ,01/06/2025,800000107278,8850718819478,ເລ່ລົດໂມລິສະລາຍຖົງ44g,013,ເຂົ້າໜົມ,15.0,0.0,1.0,0,0,0.0,0.0,0,0,14.0,"ຊນ,ອັນ",11313,158382.0,-,-
73,CP Fresh Shop ດອນໜູນ,01/06/2025,2255120442,8562551204426,ສາມຊັ້ນໝັກເກືອ 1000g,006,ຊີ້ນແພກແບຣນ,15.0,0.0,2.0,0,0,0.0,0.0,0,0,13.0,ແພັກ,61105,794365.0,-,-
74,CP Fresh Shop ດອນໜູນ,01/06/2025,800000107977,8851988005233,AROເນື້ອປາດໍລີ້ສະໄລ່,007,ອາຫານແຊ່ແຂງ,15.0,0.0,2.0,0,0,0.0,0.0,0,0,13.0,"ຊນ,ອັນ",59800,777400.0,-,-
75,CP Fresh Shop ດອນໜູນ,01/06/2025,800000122681,6971528230016,ເສັ້ນດຳເປັນມັດ500g,008,ເຄື່ອງແຫ້ງ,13.0,0.0,1.0,0,0,0.0,0.0,0,0,12.0,"ຊນ,ອັນ",22500,270000.0,-,-
